Horário,Esporte,Liga,Jogo
05:35,Outro,NRL,South Sydney Rabbitohs x Wests Tigers
08:00,Outro,Frauen-Bundesliga,Eintracht Frankfurt x Hamburger SV
09:00,Bundesliga 2,Bundesliga 2 - Germany,SC Paderborn x Dynamo Dresden
09:00,Bundesliga 2,Bundesliga 2 - Germany,Elversberg x Arminia Bielefeld
09:00,Bundesliga 2,Bundesliga 2 - Germany,1. FC Nürnberg x 1. FC Kaiserslautern
09:30,Outro,Championship,Derby County x Birmingham City
09:30,Outro,Championship,Blackburn Rovers x Middlesbrough
09:30,Outro,Championship,Ipswich Town x Millwall
10:00,3. Liga,3. Liga - Germany,Waldhof Mannheim x Erzgebirge Aue
10:00,3. Liga,3. Liga - Germany,FC Ingolstadt 04 x Alemannia Aachen
10:00,3. Liga,3. Liga - Germany,FC Energie Cottbus x SSV Ulm 1846
10:00,3. Liga,3. Liga - Germany,Jahn Regensburg x TSV Havelse
10:00,3. Liga,3. Liga - Germany,Schweinfurt x VfB Stuttgart II
10:00,Outro,Frauen-Bundesliga,TSG Hoffenheim x VfL Wolfsburg
10:00,La Liga,La Liga - Spain,Elche CF x Mallorca
10:00,La Liga 2,La Liga 2 - Spain,Leganés x AD Ceuta FC
10:00,Ligue 2,Ligue 2 - France,Troyes x USL Dunkerque
10:00,Ligue 2,Ligue 2 - France,Guingamp x Stade de Reims
10:45,Ekstraklasa,Ekstraklasa - Poland,Cracovia Kraków x GKS Katowice
11:00,Serie A,Serie A - Italy,Parma x Cremonese
11:30,Bundesliga,Bundesliga - Germany,VfL Wolfsburg x Werder Bremen
11:30,Bundesliga,Bundesliga - Germany,Bayern Munich x Union Berlin
11:30,Bundesliga,Bundesliga - Germany,1. FC Köln x Borussia Monchengladbach
11:30,Bundesliga,Bundesliga - Germany,1. FC Heidenheim x Bayer Leverkusen
12:00,Outro,Mestis,IPK x Ketterä
12:00,Outro,Championship,Queens Park Rangers x Portsmouth
12:00,Outro,NCAA Lacrosse,Wagner Seahawks x Detroit Mercy Titans
12:00,Outro,NCAA Lacrosse,Virginia Cavaliers x Utah Utes
12:00,Outro,WTA Miami Open,Leylah Fernandez x Oksana Selekhmeteva
12:00,Outro,WTA Miami Open,Iva Jović x Paula Badosa
12:00,Outro,Championship,Sheffield United x Wrexham AFC
12:00,Outro,Championship,Bristol City x West Bromwich Albion
12:00,Outro,Liiga,KalPa x HIFK
12:00,Outro,Liiga,HPK x Lukko
12:00,Outro,Liiga,Kiekko-Espoo x Ässät
12:00,Outro,Championship,Charlton Athletic x Norwich City
12:00,Outro,Championship,Hull City x Sheffield Wednesday
12:00,Outro,Championship,Watford x Leicester City
12:00,Outro,Championship,Southampton x Oxford United
12:15,La Liga 2,La Liga 2 - Spain,Andorra CF x SD Eibar
12:15,La Liga,La Liga - Spain,Espanyol x Getafe
12:15,La Liga 2,La Liga 2 - Spain,Real Racing Club de Santander x Albacete
12:30,3. Liga,3. Liga - Germany,SC Verl x 1. FC Saarbrücken
12:30,Outro,Dutch Eredivisie,Fortuna Sittard x FC Twente Enschede
12:30,Primeira Liga,Primeira Liga - Portugal,Moreirense FC x Arouca
12:30,Primeira Liga,Primeira Liga - Portugal,Famalicão x Nacional
13:00,Outro,NCAA Lacrosse,Sacred Heart Pioneers x Canisius Golden Griffins
13:00,Outro,NCAA Lacrosse,Yale Bulldogs x Pennsylvania Quakers
13:00,Outro,NCAA Lacrosse,Mt. St. Mary's Mountaineers x Merrimack Warriors
13:00,Outro,Boxing,Adam Maca x Lydon Chircop
13:00,Outro,NCAA Lacrosse,Massachusetts Minutemen x Richmond Spiders
13:00,Outro,NCAA Lacrosse,Siena Saints x Manhattan Jaspers
13:00,Outro,NCAA Lacrosse,Le Moyne Dolphins x LIU Sharks
13:00,Outro,NCAA Lacrosse,Johns Hopkins Blue Jays x Michigan Wolverines
13:00,Outro,NCAA Lacrosse,Lehigh Mountain Hawks x Holy Cross Crusaders
13:00,Outro,NCAA Lacrosse,Queens University Royals x Hampton Pirates
13:00,Outro,Boxing,Leli Buttigieg x Jake Goodwin
13:00,Outro,Boxing,Taylor Bevan x Martin Bulacio
13:00,Outro,NCAA Lacrosse,Drexel Dragons x Fairfield Stags
13:00,Outro,NCAA Lacrosse,Princeton Tigers x Cornell Big Red
13:00,Outro,WTA Miami Open,Francesca Jones x Jessica Pegula
13:00,Ligue 1,Ligue 1 - France,Toulouse x Lorient
13:00,Outro,NCAA Lacrosse,Providence Friars x Air Force Falcons
13:00,Outro,NCAA Lacrosse,UMBC Retrievers x Albany Great Danes
13:00,Outro,NCAA Lacrosse,Stony Brook Seawolves x Towson Tigers
13:00,Outro,NCAA Lacrosse,Bellarmine Knights x Marquette Golden Eagles
13:10,Outro,NCAAB,Michigan Wolverines x Saint Louis Billikens
13:30,Outro,NCAA Baseball,West Virginia Mountaineers x BYU Cougars
13:30,Outro,WTA Miami Open,Talia Gibson x Naomi Osaka
13:30,Outro,WTA Miami Open,Qinwen Zheng x Sloane Stephens
13:30,Ekstraklasa,Ekstraklasa - Poland,Lechia Gdańsk x Pogoń Szczecin
14:00,Outro,NCAA Lacrosse,Mercyhurst Lakers x VMI Keydets
14:00,Serie A,Serie A - Italy,AC Milan x Torino
14:00,Outro,NCAA Baseball,Boston College Eagles x California Golden Bears
14:00,Outro,Boxing,Louie Ward x Jahfieus Faure
14:00,Outro,NCAA Lacrosse,Rutgers Scarlet Knights x Ohio State Buckeyes
14:00,Outro,NCAA Lacrosse,Hofstra Pride x Monmouth Hawks
14:00,Outro,HockeyAllsvenskan,IK Oskarshamn x IF Björklöven
14:00,Outro,HockeyAllsvenskan,Västerås IK x IF Troja-Ljungby
14:00,Outro,NCAA Lacrosse,St. John's Red Storm x Brown Bears
14:00,Outro,NCAA Lacrosse,Delaware Blue Hens x High Point Panthers
14:00,Outro,NCAA Lacrosse,Hobart Statesmen x Saint Joseph's Hawks
14:00,Outro,HockeyAllsvenskan,Södertälje SK x Kalmar HC
14:05,Outro,MLB Preseason,Tampa Bay Rays x Minnesota Twins
14:05,Outro,MLB Preseason,St. Louis Cardinals x Miami Marlins
14:05,Outro,MLB Preseason,Baltimore Orioles x Philadelphia Phillies
14:05,Outro,MLB Preseason,Boston Red Sox x Atlanta Braves
14:05,Outro,MLB Preseason,Pittsburgh Pirates x Toronto Blue Jays
14:05,Outro,MLB Preseason,Detroit Tigers x New York Yankees
14:15,Outro,Championship,Swansea City x Coventry City
14:30,Outro,Liiga,Pelicans x JYP
14:30,La Liga 2,La Liga 2 - Spain,Cádiz CF x Málaga
14:30,Bundesliga,Bundesliga - Germany,Borussia Dortmund x Hamburger SV
14:30,Outro,WTA Miami Open,Elena Gabriela Ruse x Madison Keys
14:30,La Liga,La Liga - Spain,CA Osasuna x Girona
14:30,La Liga,La Liga - Spain,Levante x Oviedo
14:35,Outro,MMA,Ravena Oliveira x Shanelle Dyer
14:45,Outro,Dutch Eredivisie,Sparta Rotterdam x FC Volendam
15:00,Ligue 1,Ligue 1 - France,Auxerre x Brest
15:00,Outro,WTA Miami Open,Mirra Andreeva x Marie Bouzkova
15:00,Outro,NCAA Baseball,Notre Dame Fighting Irish x Clemson Tigers
15:00,Outro,NCAA Baseball,Coastal Carolina Chanticleers x James Madison Dukes
15:00,Outro,NCAA Baseball,Florida St Seminoles x NC State Wolfpack
15:00,Outro,NCAA Baseball,Indiana Hoosiers x Minnesota Golden Gophers
15:00,Outro,NCAA Baseball,North Carolina Tar Heels x Louisville Cardinals
15:00,Outro,NCAA Baseball,Michigan Wolverines x Nebraska Cornhuskers
15:00,Outro,NCAA Baseball,Purdue Boilermakers x Penn State Nittany Lions
15:00,Outro,NCAA Lacrosse,Cleveland St Vikings x Robert Morris Colonials
15:00,Outro,Boxing,Connor Mitchell x Yuri Zanoli
15:00,Primeira Liga,Primeira Liga - Portugal,Santa Clara x Gil Vicente
15:00,Outro,WTA Miami Open,Anastasia Zakharova x Victoria Mboko
15:00,Outro,WTA Miami Open,Diana Shnaider x Belinda Bencic
15:00,Primeira Liga,Primeira Liga - Portugal,Benfica x Vitória SC
15:05,Outro,MLB Preseason,Los Angeles Dodgers x Athletics
15:10,Outro,Boxing,Emmanuel Buttigieg x Jake Goodwin
15:15,Outro,MMA,Shem Rock x Abdul-Kareem Al-Selwady
15:30,Outro,NCAA Lacrosse,Colgate Raiders x Boston Univ. Terriers
15:30,Outro,NCAA Baseball,Ole Miss Rebels x Kentucky Wildcats
15:45,Outro,MMA,Felipe Franco x Mario Pinto
15:45,Outro,NCAAB,Michigan St Spartans x Louisville Cardinals
16:00,Outro,NCAA Baseball,Southern Miss Golden Eagles x Troy Trojans
16:00,Outro,WTA Miami Open,Amanda Anisimova x Yuliia Starodubtseva
16:00,Outro,NCAA Lacrosse,Penn State Nittany Lions x Maryland Terrapins
16:00,Outro,MMA,Antonio Trocoli x Mantas Kondratavicius
16:00,Ligue 2,Ligue 2 - France,Saint Etienne x Annecy FC
16:00,Outro,NCAA Baseball,Alabama Crimson Tide x Florida Gators
16:00,Outro,NCAA Baseball,Old Dominion Monarchs x Appalachian St Mountaineers
16:00,Outro,NCAA Baseball,Wichita St Shockers x Charlotte 49ers
16:00,Outro,NCAA Baseball,Cincinnati Bearcats x Utah Utes
16:00,Outro,NCAA Baseball,Virginia Tech Hokies x Duke Blue Devils
16:00,Outro,NCAA Baseball,Texas A&M Aggies x Georgia Bulldogs
16:00,Outro,NCAA Baseball,Pittsburgh Panthers x Georgia Tech Yellow Jackets
16:00,Outro,NCAA Baseball,Georgia St Panthers x Arkansas St Red Wolves
16:00,Outro,AHL,Manitoba Moose x Tucson Roadrunners
16:00,Outro,AHL,Bridgeport Islanders x Hershey Bears
16:00,Outro,NCAA Baseball,LSU Tigers x Oklahoma Sooners
16:00,Outro,NCAA Baseball,McNeese Cowboys x SE Louisiana Lions
16:00,Outro,NCAA Baseball,Jacksonville St Gamecocks x Western Kentucky Hilltoppers
